Tahun,Wilayah,Intercept_Beta0,Beta_RLS,Beta_STS,Beta_PPK,t_Intercept,t_RLS,t_STS,t_PPK,Local_R2,Condition_Number
2021,Biak Numfor,0.3718832134464603,-0.0087048372633418,-0.2211898723466132,-0.5064499269084463,3.081203344230009,-0.029052303900260916,-0.9667278090630085,-2.4708489410726915,0.6680114789662328,0.014567077439777828
2021,Jayapura,-0.33304368994872047,-0.3976878658426425,-0.5193080582159959,-0.11122914302666374,-2.6662815703116824,-1.1810037336563404,-1.729499626625224,-0.5390454385540413,0.8772595189791449,0.08977598027828103
2021,Keerom,-0.4087539868280239,-0.36914455411141944,-0.6352858693320917,-0.0606456145727827,-3.1917677863980436,-1.0736634672928855,-2.0408212099676857,-0.2876034801946672,0.8810821760668919,0.05235064687413023
2021,Kepulauan Yapen,0.31399840822132047,-0.02953233520683498,-0.24547615009284146,-0.5005563542260183,2.6901566233863026,-0.09865997462730071,-1.045457939925348,-2.3420275632498555,0.7273152199591155,0.04201270412808532
2021,Kota Jayapura,-0.4117909282405616,-0.44656379543812874,-0.5734023455095852,-0.034677751783087254,-3.0327811423612125,-1.2383084011635463,-1.7544058777955387,-0.15811014027935483,0.882960189580637,0.01560236371485261
2021,Mamberamo Raya,0.08318701515383883,-0.275905430773342,-0.25541394811219864,-0.3068210084528005,0.6733224588390803,-0.7317365770191377,-0.8035766578449924,-1.299589967124772,0.8316556502591466,0.11339192782508606
2021,Sarmi,-0.2676409585823855,-0.47572352460524164,-0.3872061689272052,-0.13636002190025404,-2.079010677949028,-1.362714051495376,-1.264170493469907,-0.6523416669645319,0.8746570955334989,0.09015901912260958
2021,Supiori,0.3618877871565967,-0.04931078119125622,-0.17303331310151468,-0.4895316642803804,2.953266232319891,-0.16584211052423423,-0.7670399011720866,-2.4251118803154994,0.648402586045997,0.04257811509973431
2021,Waropen,0.21614544704133687,-0.06073044624126436,-0.29809030681373455,-0.47320625184673915,1.74557089532624,-0.1713745610989765,-1.069415786738133,-1.7902282546559956,0.7828192481699215,0.016400663906638697
2021,Jayawijaya,-0.2695685940772004,-0.3028506268062899,-0.5343327304672343,-0.17457938956532282,-2.3592657967966435,-0.9541811639310424,-1.9308370229695158,-0.8853697213658522,0.8595161207044876,0.11821064299240762
2021,Lanny Jaya,-0.17196441204399204,-0.27561832497269484,-0.46186964214253495,-0.23273479774559278,-1.4961250357128486,-0.8482008259687533,-1.6683811982556742,-1.1085443348540405,0.8441388646413821,0.09690104765258487
2021,Mamberamo Tengah,-0.24806793698725554,-0.3331471049634748,-0.4803101617874655,-0.18582073288883913,-2.1429604997599094,-1.0427063833178656,-1.7140938612490113,-0.9445657707776511,0.8649804567361786,0.044464204717237804
2021,Nduga,-0.17569634363104875,-0.25572540541411964,-0.4910059929047405,-0.2206245315419862,-1.5010166618329455,-0.7767343955774488,-1.7734083662251374,-0.9810186717293852,0.8362296850438077,0.013623847116126433
2021,Pegunungan Bintang,-0.4052015196170966,-0.2585538017027611,-0.709549468361274,-0.11298206592972276,-3.417607011770549,-0.8020398139698005,-2.479597003372331,-0.5634552963887696,0.8826609258826911,0.089601149150968
2021,Tolikara,-0.15853188760358192,-0.3067665010788394,-0.4211232480897428,-0.23845007743110808,-1.3665038635050564,-0.9310693455969211,-1.490935994201101,-1.1656090443074958,0.8509636649010467,0.055132219465440314
2021,Yahukimo,-0.3307139871468384,-0.2736499401859352,-0.6142922731309578,-0.15670836437801977,-2.9076370685835364,-0.8731875145214724,-2.2341865953569284,-0.8059953084447278,0.8708359294049126,0.04567956438793694
2021,Yalimo,-0.32909467557542016,-0.3492618954725208,-0.5616983171704153,-0.12300367519595042,-2.7412970231613527,-1.0680368514385175,-1.9359698499170317,-0.6125944537663567,0.8702225884247367,0.01843619986944285
2021,Asmat,-0.350355420201135,-0.17157232674582948,-0.71563311307882,-0.1810407050804089,-3.031339041238531,-0.5502529506233044,-2.6895575537523397,-0.8819953066856554,0.8683333940302655,0.13004970815347922
2021,Boven Digoel,-0.42937319328224033,-0.15599573745690198,-0.8083965764234693,-0.14520804548254612,-3.528452976763134,-0.48451592828046336,-2.868533669163004,-0.7207564310018492,0.887934062306944,0.10682152723587457
2021,Mappi,-0.4247632680218788,-0.1254250770514454,-0.83590312856079,-0.1497361801806313,-3.3751200745587133,-0.38782589091507597,-3.0163038331501606,-0.7040894467016322,0.8824068555127031,0.04810413607756655
2021,Merauke,-0.49381001930311286,-0.08006763964601295,-0.965605958338151,-0.10253834051421146,-3.4519798047258834,-0.2306439662557179,-3.1994451605691236,-0.44193789802720396,0.8943357809828154,0.015263877844686044
2021,Deiyai,0.10730045345526132,-0.08546826901773127,-0.3511181931039595,-0.46901302202346296,0.8189188875097657,-0.2184739014879913,-1.1365671579790442,-1.53402527024681,0.7975098461886209,0.1421709839080448
2021,Dogiyai,0.15149344004673052,-0.21313830085776014,-0.22019943409349468,-0.48098891966090224,1.2222084965822704,-0.5968052585124819,-0.7948774045285113,-1.6724670029467525,0.7794515820625149,0.10102633422406276
2021,Intan Jaya,0.13390307700469026,-0.11005981676256549,-0.3236550566825372,-0.43006383186340225,1.0824212222771445,-0.3026799892416523,-1.124180010286121,-1.5623205096496362,0.7941285013124624,0.05573878352920061
2021,Mimika,0.03141193022533377,-0.12612412950710575,-0.40227679898103924,-0.36600720285247573,0.23708206930120712,-0.3265892152334999,-1.3135419171150764,-1.2250213929845635,0.8013599222524072,0.016572640651410637
2021,Nabire,0.2141287636033116,-0.1586973629574963,-0.21373236460148104,-0.5032687853454826,1.8414965361726399,-0.5015814586955543,-0.86413684026316,-2.116751222041122,0.7639031631262804,0.12187083522255868
